,C061129A1-SR-C1,C060112A1-SR-C1,C060202A4-SR-C1,C061128A3-SR-C1,C060116A4-SR-C1,C060116A1-SR-C1,C061128A1-SR-C1,C061128A4-SR-C1,C061121A1-SR-C1,C061208A2-SR-C1,C060112A6-SR-C1,C061208A3-SR-C1,C060116A6-SR-C1,C060202A2-SR-C1,C060112A4-SR-C1,C070109A4-C1,C060209A3-SR-C1,C060114A6-SR-C1,C060116A7-SR-C1,C060109A1-SR-C1,C080501B2-SR-C1,C060112A7-SR-C1,C061129A3-SR-C1,C060109A3-SR-C1,C060114A5-SR-C1,C060110A2-SR-C1,C060114A7-SR-C1,C060110A3-SR-C1,C060109A2-SR-C1,C060116A3-SR-C1,C061128B1-SR-C1,C060114A4-SR-C1,C061128B2-SR-C1,C060112A3-SR-C1,C060202A1-SR-C1,C061208B2-SR-C1,C080501A5-SR-C1,C061128A5-SR-C1,C061208B1-SR-C1,C060110A5-SR-C1,C060114A2-SR-C1,C060202A6-SR-C1,C060202A5-SR-C1,C060116A5-SR-C1
IDrest_150.soma.v.AP_duration_half_width,1.4833,0.9583,1.1323,0.8917,1.2555,,1.3675,1.625,1.4912,1.0489,1.4046,0.8489,1.1112,1.1914,1.2729,0.85,0.9543,1.5667,,1.1659,1.045,1.3444,1.2592,1.02,1.29,1.0418,0.7896,1.2863,1.3048,1.2274,,1.3653,1.1132,1.0542,1.2292,0.7875,1.1655,0.9114,,,1.4062,1.3536,0.725,1.0455
IDrest_150.soma.v.AHP_depth,19.115,20.4404,18.8398,28.3109,14.8417,,24.3759,17.147,23.8186,22.3473,25.7863,19.8292,21.4717,15.3207,18.8614,25.0677,12.6369,20.9688,,10.1995,15.3307,17.0377,19.6341,12.4948,19.397,15.4784,17.8524,22.6867,16.2219,22.9624,,17.5101,18.302,15.7348,16.699,18.9275,14.4713,25.85,,,17.2971,14.9302,24.8776,21.411
IDrest_150.soma.v.fast_AHP,13.3424,9.6493,16.4032,8.581,14.9496,,11.5326,,14.4311,13.3402,15.068,13.9818,13.9126,15.8073,14.0191,13.3659,17.4524,6.7919,,14.4049,16.6387,14.5998,14.2807,16.9913,12.1728,11.2349,14.8906,12.0253,13.3311,12.7237,,13.8774,13.7321,14.9524,15.0724,14.5242,12.3664,9.8116,,,11.7356,13.956,13.5458,12.1589
IDrest_150.soma.v.AHP_time_from_peak,27.0389,22.2548,22.3378,22.5687,29.2491,,23.8092,26.75,20.595,29.3178,20.7145,22.1083,21.6783,24.8929,28.4208,26.5292,29.2181,10.3,,32.7417,31.32,25.6944,31.35,32.125,25.9,24.33,24.9806,19.6506,34.0976,21.5476,,25.255,25.0931,22.4875,26.4042,24.4108,23.0098,21.4788,,,25.3562,27.0282,25.5,24.5986
IDrest_150.soma.v.voltage_deflection,20.3491,44.0146,25.1576,33.0647,22.1786,,25.7813,18.0537,29.5509,28.1914,30.8463,23.7997,25.9158,19.2887,21.5638,29.7135,24.7429,23.7479,,16.7886,22.3747,18.9505,20.5039,19.8537,27.763,16.1872,20.1102,45.4329,17.2872,24.3401,,24.6031,19.9224,18.2147,25.9166,24.2388,14.3113,26.5739,,,33.4807,17.9501,28.5474,19.6856
IDrest_150.soma.v.voltage_deflection_begin,25.3507,24.1731,24.7487,29.5792,19.2429,,29.0421,19.4112,29.3415,27.1019,31.9141,23.8461,25.182,20.1632,22.843,29.2234,19.6085,23.9168,,14.4947,19.7883,21.4179,22.9548,19.8321,24.3434,18.8075,22.6708,26.2977,21.3919,26.7044,,23.5179,23.2026,23.461,23.3586,23.5317,18.1366,28.3823,,,20.0521,18.3665,26.3606,24.5046
IDrest_150.soma.v.steady_state_voltage,-88.1881,-85.37,-87.7619,-85.0777,-85.7285,,-84.1417,-83.9457,-86.0757,-84.2648,-84.7572,-83.4164,-85.3658,-85.1411,-85.6167,-86.9028,-86.0298,-87.6507,,-86.6517,-83.87,-83.9214,-85.273,-87.4922,-85.324,-88.9101,-85.4358,-86.2459,-88.2482,-85.2468,,-85.8558,-86.078,-86.692,-85.5358,-84.1184,-84.1664,-86.4041,,,-85.7783,-85.9145,-86.1086,-86.6065
IDrest_150.soma.v.decay_time_constant_after_stim,7.7429,11.5874,9.3068,14.3703,13.8102,,10.4499,15.5262,10.7492,16.174,11.495,17.9159,12.8769,12.0544,15.991,15.9602,21.8167,14.0456,,15.0319,15.8294,16.5505,10.8396,10.2115,16.3208,8.1278,17.7334,10.2664,8.4096,10.2041,,14.4796,8.9821,9.5381,17.0418,21.1078,6.1628,11.5823,,,14.3722,14.35,15.503,9.9052
IDrest_200.soma.v.AP_height,17.5543,10.1071,13.6104,9.9212,23.1452,27.437,17.8807,18.9145,20.8474,11.4168,25.956,9.8492,8.0614,12.375,19.9233,12.2957,6.5583,25.3029,19.2307,17.487,17.6122,23.8992,25.5152,17.3689,20.4257,17.6102,12.1846,18.3095,27.8844,21.3751,16.2893,17.1776,12.1838,17.6729,8.4283,5.1651,17.7679,14.2996,,22.4659,16.656,9.5528,5.3418,10.9976
IDrest_200.soma.v.AHP_slow_time,0.2525,0.2086,0.2471,0.2146,0.2554,0.232,0.2781,0.1922,0.2493,0.2872,0.2353,0.232,0.2415,0.1973,0.2274,0.2465,0.1859,0.1192,0.1583,0.2795,0.3151,0.2239,0.3145,0.2407,0.1411,0.2606,0.1976,0.1966,0.2114,0.2292,0.2997,0.1474,0.3524,0.1569,0.1601,0.2347,0.3195,0.3495,,0.2882,0.2085,0.2841,0.2752,0.2501
IDrest_200.soma.v.ISI_CV,0.0341,0.2146,0.0698,0.1106,0.036,0.1047,0.1299,0.4457,0.0665,0.0649,0.1855,0.0768,0.0568,0.0782,0.0622,0.1707,0.1436,0.3097,0.1337,0.0476,0.0343,0.0866,0.0472,0.0349,0.3852,0.0932,0.1087,0.2838,0.1943,0.1463,0.0583,0.244,0.05,0.2769,0.4192,0.0622,0.0506,0.065,,0.0547,0.3077,0.0474,0.0571,0.1254
IDrest_200.soma.v.doublet_ISI,38.0,37.1,35.4,25.2,38.2,39.0,19.9,57.5,29.5,36.75,31.4333,37.4,36.0,55.7,57.65,35.55,86.7,37.9,42.7,78.2,32.95,43.0,41.95,77.1,43.5,44.25,39.55,28.25,54.8,28.9,32.1,44.45,28.75,50.55,63.9,38.0,45.9,28.45,,37.8,39.4,60.45,59.3,30.55
IDrest_200.soma.v.adaptation_index2,-0.0002,0.0096,0.0028,0.0136,0.0009,0.0099,0.0133,0.0304,0.0038,0.0047,0.0128,0.0057,-0.0015,0.0031,0.003,0.0102,0.0107,0.0329,0.0151,0.0021,0.0013,0.011,-0.0016,0.0011,0.0654,0.0006,0.0138,0.0125,0.0046,0.0059,0.0033,0.0491,0.0021,0.0198,0.094,0.0057,0.0019,0.0007,,-0.0003,0.0276,0.0055,-0.0041,0.0079
IDrest_200.soma.v.mean_frequency,9.8135,9.3159,12.1936,9.885,9.9063,10.294,12.6972,4.5869,13.5327,10.3498,11.5366,10.8584,11.8553,7.9955,8.4123,7.8231,6.3666,5.914,7.8724,8.7795,9.3229,7.5828,11.408,9.462,5.3834,10.2086,9.0914,9.2215,7.6953,11.7676,13.9159,6.1099,13.3503,7.331,5.0831,9.4784,13.6019,17.0627,,10.8848,7.4854,8.8254,8.5981,10.0001
IDrest_200.soma.v.AHP_depth_abs_slow,-60.8677,-60.3592,-63.0853,-53.9988,-66.3915,-59.8725,-53.8241,-65.9722,-55.5425,-57.7911,-55.0958,-60.4992,-60.2891,-64.4929,-63.4628,-55.1099,-69.1366,-66.8554,-66.0185,-73.2982,-62.9428,-64.0495,-60.2145,-68.2285,-62.7946,-69.0347,-65.8793,-60.1555,-66.8737,-57.2683,-58.0442,-64.5588,-60.7464,-66.0589,-65.8925,-62.1446,-65.7927,-54.7794,,-65.5993,-66.249,-67.1966,-58.5088,-60.537
IDrest_200.soma.v.AP_width,3.4067,3.1619,3.6415,4.3679,2.3179,2.4437,5.1401,3.6009,4.8184,2.7976,5.9194,2.527,3.1185,2.7282,3.15,5.3177,3.9206,3.4667,3.3514,1.7504,2.2006,3.4479,2.6287,2.2953,4.0517,2.0932,4.057,2.9443,2.2889,3.821,4.4385,3.6522,2.7735,3.1522,2.7875,3.3917,1.9995,4.6443,,2.5992,3.2303,2.3998,3.1617,2.6678
IDrest_200.soma.v.time_to_first_spike,16.15,15.15,12.5,15.8,17.1,15.15,11.5,26.5,,22.0,14.4333,21.5,13.9,16.4,22.25,20.6,27.9,15.75,17.0,18.4,20.8,31.85,17.4,18.5,20.6,13.6,20.6,13.25,16.2,12.4,14.0,16.4,12.25,19.1,21.65,23.65,15.5,14.55,,12.85,,24.25,20.95,15.35
IDrest_200.soma.v.AHP_depth_abs,-60.1791,-59.908,-62.9133,-53.4067,-65.6072,-59.4524,-53.4474,-64.1695,-53.9549,-57.0636,-54.8054,-60.0847,-59.9814,-63.6643,-63.0178,-54.079,-68.5453,-64.1442,-64.0811,-72.3388,-61.9377,-63.1115,-59.4812,-67.3174,-61.7045,-68.5588,-65.3767,-59.853,-66.203,-57.1023,-57.4118,-63.8947,-60.1931,-65.6573,-64.7909,-61.6234,-65.4947,-54.5382,,-65.1036,-65.4763,-66.2625,-57.8629,-59.9889
IDrest_200.soma.v.ISI_log_slope,-0.0012,0.1142,0.0407,0.09,-0.0051,0.1004,0.1137,0.1919,0.0257,0.0362,0.1504,0.0666,0.0032,0.0434,-0.0032,0.1153,0.0861,0.3424,0.1054,0.0234,-0.0061,0.087,-0.0275,0.0212,0.4558,0.01,0.1275,0.1855,0.0832,0.0899,0.0362,0.2177,-0.0073,0.149,0.429,0.0579,0.0422,-0.025,,0.0117,0.2652,0.0454,-0.0509,0.0961
IDrest_200.soma.v.ISI_log_slope_skip,-0.0052,0.0871,0.0094,0.0075,-0.0238,0.0403,0.0194,-0.278,-0.0051,-0.0213,0.0774,0.025,-0.0145,0.0143,-0.0434,0.0499,-0.0104,0.1734,0.0504,0.0071,-0.0237,0.025,-0.0253,0.0182,0.3395,-0.006,0.0503,0.0948,0.0613,0.0223,0.0037,-0.0121,-0.0358,-0.0033,0.1282,0.0072,0.0307,-0.0303,,-0.0096,0.1458,0.0307,-0.0464,-0.0006
IDrest_200.soma.v.voltage_base,-84.0028,-82.2804,-84.495,-82.8797,-83.0691,-82.4292,-80.8714,-82.1578,-82.259,-82.3682,-81.4979,-82.5057,-82.6562,-83.0506,-82.7442,-82.1635,-83.901,-83.6733,-82.5572,-85.6978,-82.0305,-81.5778,-82.5862,-84.1583,-82.8921,-85.5712,-82.6317,-83.5114,-83.8167,-82.7527,-81.5319,-82.7238,-82.751,-83.5789,-84.4228,-82.6744,-82.6623,-83.2567,,-82.5888,-83.4927,-84.2945,-83.1398,-84.1292
IDrest_200.soma.v.time_to_last_spike,1939.0,1920.3,1966.7,1973.1,1917.9,1942.6,1968.85,1674.6,1956.95,1982.25,1964.9333,1933.6,1937.1,1936.1,1961.2,1923.0,1886.15,1856.75,1895.35,1933.1,1931.5,1912.2,1927.5,1953.6,1763.65,1958.6,1979.55,1948.5,1948.0,1954.4,1977.35,1967.65,1946.0,1905.35,1873.25,1899.1,1943.4,1961.6,,1974.75,1777.6,1923.5,1920.75,1944.85
IDrest_200.soma.v.inv_time_to_first_spike,62.3552,66.3891,80.1282,63.8668,58.5115,66.1283,87.619,38.0223,,45.478,70.0066,47.1491,72.0767,61.0119,44.9495,48.6365,35.9606,63.4927,58.9541,54.5428,48.1047,31.569,57.8457,54.0936,48.5448,73.6728,48.6365,75.4986,61.7873,80.6504,71.4614,61.1598,81.6667,52.4077,46.7401,42.338,67.027,68.9116,,79.4682,,41.453,47.7939,65.2636
IDrest_200.soma.v.inv_first_ISI,28.4911,27.4327,28.4018,39.7451,26.1845,25.679,50.5782,17.7988,34.1435,27.9689,31.8696,30.3485,27.7992,17.9591,17.3483,28.1763,11.9302,26.4665,23.4409,12.923,30.3508,23.3062,24.5718,12.9827,23.0372,22.6093,25.3461,35.4677,18.3229,34.7857,31.153,22.4979,34.912,19.7867,15.6526,26.3889,22.6376,35.1521,,27.6956,25.4226,16.5497,17.1603,33.7293
IDrest_200.soma.v.inv_second_ISI,9.3851,9.7343,13.639,13.505,9.4112,12.8886,20.7884,6.0032,15.0542,11.6947,17.0972,12.4643,11.4267,8.1118,8.3514,8.7363,7.4392,9.5455,8.7523,8.586,8.8396,8.8355,10.8663,9.1043,8.1805,9.8834,11.7326,13.8484,7.926,14.5449,15.4747,8.7119,14.1251,9.7637,7.5286,10.503,14.3128,17.027,,10.897,10.7805,8.9362,7.3512,11.9185
IDrest_200.soma.v.inv_third_ISI,8.9862,9.5268,12.1692,9.6571,9.1375,10.6812,14.092,3.0408,13.4033,10.058,13.3902,11.4452,11.6895,7.799,7.6093,7.8634,6.3219,6.4855,7.3182,8.7369,8.4681,7.0853,9.8323,9.13,6.2267,9.8868,9.6204,11.8689,7.9943,13.934,14.6526,5.2021,12.5306,8.0111,4.9969,9.4801,14.3164,15.1813,,10.3026,8.3681,8.6171,7.3067,11.3746
IDrest_200.soma.v.inv_fourth_ISI,9.372,9.1599,11.99,9.1338,8.6256,11.1157,12.9265,5.048,13.0251,9.2714,12.7193,10.8671,11.4977,8.0382,6.9689,6.8262,5.0438,5.1645,7.06,8.109,8.2639,7.0678,10.3395,9.4005,5.16,10.0172,8.9182,9.9504,7.7212,12.0728,13.339,4.1929,11.79,5.0499,4.7744,8.7984,13.9964,15.2137,,10.4343,8.1707,8.3128,7.9498,9.6014
IDrest_200.soma.v.inv_fifth_ISI,9.008,8.3105,11.8502,8.5056,8.8667,9.9956,12.7539,2.799,12.0801,9.6854,11.8345,10.4151,10.5106,6.5197,7.4518,7.0697,5.3607,5.1742,7.2847,7.7119,8.2367,6.5646,10.7266,8.9126,4.8534,9.844,8.6224,9.2956,6.1907,11.3211,13.4569,5.4051,12.053,7.5748,5.3776,8.8775,13.759,15.8534,,10.1001,6.8492,8.3049,7.4552,9.3365
IDrest_200.soma.v.inv_last_ISI,9.2367,8.8191,12.3077,8.4338,9.1467,9.6219,11.2503,4.4278,12.6852,10.2505,10.2758,10.0221,12.3195,7.5878,7.9328,7.7184,6.1696,5.6616,6.4537,8.2125,8.513,6.845,11.3549,8.9106,3.5025,9.8207,7.7961,9.5465,7.4324,11.6496,13.2495,4.9382,12.8476,7.1372,3.5453,8.8391,12.777,16.4505,,11.0681,7.1777,7.7528,8.3271,9.5999
IDrest_200.soma.v.AP_amplitude,65.1368,60.9367,62.3563,53.7512,75.8741,74.5265,61.6506,68.3629,63.3511,57.0991,65.1688,57.7623,54.5231,61.7482,69.5333,54.9249,58.5253,77.6733,70.0687,78.3836,66.7449,73.0977,73.8966,71.0883,69.0578,76.0224,63.1779,65.7851,79.6738,65.7874,61.6408,66.8498,62.6949,69.1746,58.8871,53.4828,72.778,60.1389,,77.2578,71.2644,63.443,50.9892,59.6573
IDrest_200.soma.v.AP1_amp,80.7512,72.1012,67.6969,93.8744,81.5031,85.3725,72.175,76.6025,77.9044,58.8138,83.7021,58.5831,59.8613,66.49,78.08,74.5338,62.5269,83.4725,73.1981,80.35,70.6181,81.475,81.7175,70.5969,76.7263,81.475,70.6569,71.7187,85.1069,81.0756,69.375,77.6912,66.0394,70.7212,64.8931,53.4012,78.875,67.1019,,84.1088,78.3562,65.78,50.7312,73.745
IDrest_200.soma.v.APlast_amp,62.7825,60.105,60.5881,49.1487,74.4881,72.5269,57.6,63.0869,59.4012,54.765,59.7842,55.3962,53.9531,58.1731,67.0794,51.9569,56.7675,75.9219,66.6206,76.2037,64.1238,69.9088,71.2775,71.9275,64.8837,74.1387,60.3287,64.7363,78.2875,63.0288,58.4119,62.2237,61.9844,68.1875,54.4338,51.5606,71.2187,58.2819,,75.7856,69.0256,61.7187,50.9831,57.3669
IDrest_200.soma.v.AP_duration_half_width,1.0633,0.9273,1.0698,0.8608,1.1777,1.1818,1.0651,1.4393,0.9369,1.0309,1.0629,0.9939,0.8777,0.9559,1.515,1.0151,0.8815,1.5775,1.275,1.2323,1.0319,1.3579,1.1679,1.2653,1.2411,1.4394,0.9458,1.0319,1.1042,1.2774,1.0126,1.3733,1.0783,0.8594,1.1976,0.8333,1.1861,0.8735,,1.3652,1.41,1.1958,0.8978,1.0027
IDrest_200.soma.v.AHP_depth,23.8237,22.3724,21.5817,29.4731,17.4619,22.9768,27.424,17.9882,28.3041,25.3046,26.6925,22.4211,22.6748,19.3863,19.7265,28.0845,15.3557,19.5291,18.4761,13.359,20.0928,18.4664,23.105,16.8409,21.1876,17.0125,17.2551,23.6584,17.6137,25.6504,24.1201,18.829,22.5579,17.9215,19.6319,21.051,17.1676,28.7184,,17.4852,18.0164,18.032,25.2769,24.1404
IDrest_200.soma.v.fast_AHP,12.5051,8.9665,14.0311,9.4294,12.8428,12.3624,9.628,14.1495,11.344,11.4739,15.5257,12.1326,13.5171,14.1457,13.3554,11.3373,16.4773,11.6646,13.0621,11.2926,12.8182,13.8502,11.0889,13.5894,12.8466,10.1493,14.3797,12.39,14.3265,12.6971,12.3593,13.9567,9.6903,14.0105,14.063,13.2075,10.4839,8.6424,,10.1913,10.7753,12.3183,12.1729,11.2484
IDrest_200.soma.v.AHP_time_from_peak,22.6041,19.9343,19.2079,17.1508,21.1043,19.5992,19.4583,27.0152,16.6154,20.3864,19.0456,18.0936,18.5758,19.6122,22.9306,24.2993,25.4979,12.77,14.0694,25.0507,22.3245,22.3329,21.6479,21.6291,22.7011,22.3003,20.7163,18.6605,24.2347,18.0819,19.2318,21.6478,22.3062,18.3439,24.1333,21.3278,20.5714,18.262,,22.8622,23.2915,23.147,23.1144,22.7457
IDrest_200.soma.v.voltage_deflection,25.9282,24.2072,22.1518,30.15,22.635,24.2296,27.4728,24.6358,33.2977,29.964,27.365,26.5271,26.8706,21.0831,19.4944,30.6626,23.4625,22.9649,25.3089,14.3287,21.2874,21.2294,26.7405,15.9558,30.2555,17.2285,19.1326,24.7995,16.9738,28.2008,39.0875,20.1373,26.3286,23.6383,25.8173,29.9352,18.8892,30.7534,,16.2728,24.3177,20.1886,27.2498,24.3352
IDrest_200.soma.v.voltage_deflection_begin,28.447,28.1023,27.9999,34.5275,22.2222,27.1237,31.44,21.6323,33.7639,28.6578,33.7267,26.6891,28.8402,22.951,23.3436,32.096,21.4585,25.1029,25.2022,16.7237,22.7198,22.2299,26.3016,21.5637,26.0176,22.0592,23.6452,29.8395,22.5999,30.8525,28.948,23.9512,26.7684,24.5252,23.4684,26.4306,21.2876,32.9714,,23.1315,23.6667,21.0863,28.4645,29.1884
IDrest_200.soma.v.steady_state_voltage,-87.8958,-86.1143,-88.995,-85.2214,-85.6852,-84.9164,-84.029,-83.0037,-85.9007,-84.3654,-85.3314,-83.3311,-85.618,-85.3448,-85.7596,-86.8209,-86.5535,-88.071,-86.5339,-88.1285,-84.0596,-83.3672,-85.495,-87.8307,-85.1991,-89.3874,-85.5704,-86.9317,-88.0783,-85.4774,-84.7964,-86.2546,-86.5849,-87.0612,-85.6171,-83.3365,-83.525,-86.0423,,-86.0533,-86.5308,-85.9544,-85.3973,-87.1616
IDrest_200.soma.v.decay_time_constant_after_stim,8.3676,10.1458,6.6434,13.0676,11.2367,7.3505,9.0223,15.1686,9.1674,13.0033,8.8513,15.3507,11.4707,8.4455,12.0181,13.4327,18.0135,8.9254,12.5016,8.4061,11.0229,17.6322,10.8046,5.6532,13.7792,7.7504,14.5917,8.5157,5.6958,8.2214,9.7326,9.3091,9.0203,9.7265,14.2671,18.158,7.505,10.2757,,6.2414,13.6715,13.1189,10.8947,9.5343
IDrest_240.soma.v.AP_height,17.2043,10.845,12.9798,8.0689,21.6216,27.0353,14.5023,16.352,17.5909,,22.6793,,8.2808,11.6885,18.3318,11.7337,,22.6131,18.2304,17.6572,16.473,22.2071,23.1099,17.5617,17.844,15.9879,10.3451,17.7211,26.6727,19.3136,14.2387,14.971,10.2622,16.6615,6.4068,,16.6616,12.4395,,21.7949,14.5598,9.0465,6.2951,11.2307
IDrest_240.soma.v.AHP_slow_time,0.3085,0.273,0.2835,0.2184,0.286,0.2536,0.3227,0.2637,0.2966,,0.269,,0.2678,0.2119,0.2494,0.3048,,0.1845,0.1942,0.308,0.2939,0.2444,0.3414,0.2678,0.2064,0.2984,0.234,0.2632,0.2538,0.2566,0.3352,0.2074,0.4139,0.1987,0.2292,,0.3447,0.3832,,0.3064,0.2508,0.2939,0.2639,0.2971
IDrest_240.soma.v.ISI_CV,0.0497,0.1522,0.0753,0.2699,0.0517,0.116,0.1839,0.1882,0.0869,,0.1616,,0.0516,0.0578,0.0594,0.112,,0.2193,0.1417,0.0398,0.0546,0.1184,0.039,0.0298,0.2138,0.0758,0.1303,0.1063,0.0577,0.163,0.0637,0.1513,0.0507,0.2857,0.2729,,0.073,0.0753,,0.0504,0.1589,0.0499,0.0615,0.1033
IDrest_240.soma.v.doublet_ISI,22.05,17.6,29.45,23.2667,28.65,31.85,11.7,35.65,21.45,,25.65,,20.0,36.9,41.75,23.6,,28.1,32.6,49.65,26.75,,27.7,45.35,30.4,29.5,28.9,17.2333,35.45,20.15,24.4,,23.15,37.65,32.4,,34.15,24.6,,30.15,32.0,37.6,29.9,10.4
IDrest_240.soma.v.adaptation_index2,0.0038,0.0027,0.0048,0.0172,0.0027,0.0067,0.0093,0.0167,0.0053,,0.0121,,0.0012,0.0035,0.0031,0.0073,,0.0184,0.0089,0.0015,0.0046,0.016,0.0012,-0.0004,0.0173,0.0015,0.0124,0.0065,0.0053,0.0122,0.0038,0.0139,0.0014,0.0095,0.0206,,0.0042,0.001,,0.0016,0.0092,0.0027,-0.0037,0.0071
IDrest_240.soma.v.mean_frequency,14.1719,14.0168,15.3493,11.7988,13.059,12.022,15.7294,7.2401,17.1821,,13.4639,,14.7323,10.6566,11.3188,11.408,,9.6974,10.2447,11.1451,11.9813,10.1191,15.4424,12.4449,8.64,13.4827,11.3726,14.847,11.5296,14.3529,16.6469,9.6816,17.5329,10.7622,9.0764,,16.52,20.4683,,12.7061,10.4047,11.456,11.8478,13.8344
IDrest_240.soma.v.AHP_depth_abs_slow,-57.4121,-58.0359,-61.376,-52.6558,-65.5229,-58.5593,-52.1117,-63.3144,-54.238,,-53.1063,,-59.1559,-62.9349,-62.7262,-51.7678,,-65.8157,-65.8853,-71.1606,-61.2756,-62.9666,-59.04,-66.1635,-61.394,-67.8976,-66.0989,-58.264,-65.0172,-56.056,-57.4355,-63.2741,-58.9138,-64.2217,-62.8118,,-64.3532,-53.4992,,-65.0139,-65.2819,-65.1901,-56.1535,-58.5952
IDrest_240.soma.v.AP_width,3.9296,3.5992,4.0058,4.8111,2.5812,2.6139,5.4677,4.0279,5.0092,,6.5177,,3.4744,2.935,3.4831,5.9117,,3.9789,3.5504,1.8284,2.4648,3.8292,3.0581,2.4033,4.6153,2.3124,4.2728,3.5134,2.4995,4.167,4.6955,4.1965,3.1225,3.374,3.1045,,2.259,4.8861,,2.7576,3.6789,2.6129,3.4807,2.9804
IDrest_240.soma.v.time_to_first_spike,12.2,11.65,9.9,11.8333,13.35,12.75,9.15,20.25,,,11.35,,10.6,13.85,17.0,15.4,,12.4,14.25,14.25,16.25,24.0,13.4,14.4,,10.75,15.75,10.3333,12.55,9.75,11.5,12.0,,14.5,14.25,,11.6,11.75,,11.0,13.85,18.65,15.85,12.0
IDrest_240.soma.v.AHP_depth_abs,-56.9066,-57.7801,-61.1418,-52.0947,-65.106,-58.2474,-51.5675,-62.1558,-52.9617,,-52.4147,,-58.6869,-62.5467,-62.3789,-50.5931,,-63.8594,-64.2058,-70.5244,-60.8452,-62.3884,-58.6314,-65.6149,-60.9891,-67.4327,-65.7041,-57.4601,-64.3621,-55.843,-57.2546,-62.8664,-57.8506,-62.4851,-62.1905,,-64.0664,-53.2576,,-64.5297,-64.9002,-64.6821,-55.9365,-58.265
IDrest_240.soma.v.ISI_log_slope,0.0314,0.0396,0.0431,0.1728,0.0154,0.1058,0.1169,0.173,0.0583,,0.1466,,0.0211,0.0336,0.0185,0.0804,,0.1546,0.0483,0.0032,0.0305,0.1438,-0.0,0.0003,0.1732,0.0386,0.1502,0.068,0.0322,0.1229,0.0557,0.123,0.0106,0.1099,0.1275,,0.0791,-0.0004,,-0.0012,0.1243,0.0355,-0.0594,0.0765
IDrest_240.soma.v.ISI_log_slope_skip,-0.0041,-0.0126,0.0089,0.0544,-0.0119,0.0509,0.0305,0.0953,0.0181,,0.0815,,0.013,-0.0017,-0.0155,-0.0156,,0.002,-0.0251,-0.0072,-0.0098,0.0315,-0.0091,-0.0063,-0.0145,0.0182,0.0847,0.0121,0.0046,0.075,0.0284,-0.0201,-0.015,0.0136,0.0002,,0.0631,-0.018,,-0.0277,0.0336,0.0165,-0.0512,0.0222
IDrest_240.soma.v.voltage_base,-84.1032,-82.0928,-84.4741,-82.9414,-83.0327,-82.429,-80.7209,-81.4673,-82.8118,,-81.6082,,-82.6349,-83.1519,-82.4585,-82.2523,,-83.9624,-82.4303,-84.838,-81.8046,-81.3906,-82.9517,-84.0366,-82.785,-86.1381,-82.5924,-83.855,-83.3537,-83.6324,-81.9126,-82.0573,-83.1854,-83.0988,-84.0057,,-82.6782,-83.5271,,-82.7768,-83.6268,-84.4191,-83.3337,-84.4824
IDrest_240.soma.v.time_to_last_spike,1974.4,1955.0,1954.5,1947.9333,1952.65,1954.25,1971.15,1934.4,1978.55,,1968.1,,1966.8,1971.4,1945.4,1975.85,,1959.4,1948.0,1928.35,1960.9,1926.75,1974.35,1928.4,1967.1,1962.9,1933.65,1998.0333,1956.1,1951.0,1982.35,1962.25,1996.15,1998.05,1981.2,,1961.5,1979.25,,1970.05,1971.35,1920.15,1983.15,1950.3
IDrest_240.soma.v.inv_time_to_first_spike,82.1051,86.105,101.0204,84.9296,74.9158,78.4615,109.4498,49.5716,,,88.6027,,94.4742,72.2483,58.8745,65.0338,,80.6504,70.3704,70.3704,61.553,41.6848,74.6934,69.4981,,93.0736,63.5696,96.9745,79.7129,102.6316,86.9828,83.4783,,68.9951,70.7196,,89.1279,85.1449,,92.1968,72.2483,53.9017,63.0971,83.3565
IDrest_240.soma.v.inv_first_ISI,45.7469,57.8947,33.9677,43.0728,34.9603,31.4103,86.0991,28.1262,46.6934,,39.1484,,50.2121,27.1164,24.0219,42.4346,,35.9188,30.6751,20.142,37.465,,36.2903,22.0585,32.9646,33.9862,34.6025,58.3965,28.2214,49.6428,41.384,,43.3034,26.6473,30.9396,,30.1678,40.6511,,33.1785,31.4419,26.6185,33.4452,96.2339
IDrest_240.soma.v.inv_second_ISI,16.6032,16.2665,18.6919,20.4311,14.2348,15.5008,26.6838,9.5751,22.1359,,20.5867,,15.0393,11.4101,12.2564,15.4701,,17.6129,11.8118,11.1848,13.5408,15.4728,15.8854,12.1618,14.0519,14.2424,16.2389,19.1341,12.4504,20.7393,19.9888,15.0809,19.4741,15.2894,13.8511,,18.4366,22.5762,,13.413,13.5928,11.854,10.1137,17.6787
IDrest_240.soma.v.inv_third_ISI,14.0212,14.8608,15.4391,14.8264,12.3891,13.5281,20.0272,7.4679,18.6395,,15.7126,,14.1847,10.5293,10.8211,12.0577,,10.1096,10.2859,10.1139,11.7123,11.0499,14.299,11.7484,10.7336,13.8619,12.593,16.7342,10.9519,16.0092,17.6623,9.9245,17.882,12.1834,10.0271,,19.0471,19.9195,,11.8786,12.1588,11.3394,10.09,14.7824
